Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
13,13,0,kevin_magnussen,Kevin,Magnussen,4,Azerbaijan Grand Prix
14,14,0,gasly,Pierre,Gasly,4,Azerbaijan Grand Prix
15,15,0,ocon,Esteban,Ocon,4,Azerbaijan Grand Prix
16,16,0,sargeant,Logan,Sargeant,4,Azerbaijan Grand Prix
17,17,0,hulkenberg,Nico,Hülkenberg,4,Azerbaijan Grand Prix
18,18,0,bottas,Valtteri,Bottas,4,Azerbaijan Grand Prix
19,R,0,zhou,Guanyu,Zhou,4,Azerbaijan Grand Prix
20,R,0,de_vries,Nyck,de Vries,4,Azerbaijan Grand Prix
1,1,26,max_verstappen,Max,Verstappen,5,Miami Grand Prix
2,2,18,perez,Sergio,Pérez,5,Miami Grand Prix
3,3,15,alonso,Fernando,Alonso,5,Miami Grand Prix
4,4,12,russell,George,Russell,5,Miami Grand Prix
5,5,10,sainz,Carlos,Sainz,5,Miami Grand Prix
6,6,8,hamilton,Lewis,Hamilton,5,Miami Grand Prix
7,7,6,leclerc,Charles,Leclerc,5,Miami Grand Prix
8,8,4,gasly,Pierre,Gasly,5,Miami Grand Prix
9,9,2,ocon,Esteban,Ocon,5,Miami Grand Prix
10,10,1,kevin_magnussen,Kevin,Magnussen,5,Miami Grand Prix
11,11,0,tsunoda,Yuki,Tsunoda,5,Miami Grand Prix
12,12,0,stroll,Lance,Stroll,5,Miami Grand Prix
13,13,0,bottas,Valtteri,Bottas,5,Miami Grand Prix
14,14,0,albon,Alexander,Albon,5,Miami Grand Prix
15,15,0,hulkenberg,Nico,Hülkenberg,5,Miami Grand Prix
16,16,0,zhou,Guanyu,Zhou,5,Miami Grand Prix
17,17,0,norris,Lando,Norris,5,Miami Grand Prix
18,18,0,de_vries,Nyck,de Vries,5,Miami Grand Prix
19,19,0,piastri,Oscar,Piastri,5,Miami Grand Prix
20,20,0,sargeant,Logan,Sargeant,5,Miami Grand Prix
1,1,25,max_verstappen,Max,Verstappen,6,Monaco Grand Prix
2,2,18,alonso,Fernando,Alonso,6,Monaco Grand Prix
3,3,15,ocon,Esteban,Ocon,6,Monaco Grand Prix
4,4,13,hamilton,Lewis,Hamilton,6,Monaco Grand Prix
5,5,10,russell,George,Russell,6,Monaco Grand Prix
6,6,8,leclerc,Charles,Leclerc,6,Monaco Grand Prix
7,7,6,gasly,Pierre,Gasly,6,Monaco Grand Prix
8,8,4,sainz,Carlos,Sainz,6,Monaco Grand Prix
9,9,2,norris,Lando,Norris,6,Monaco Grand Prix
10,10,1,piastri,Oscar,Piastri,6,Monaco Grand Prix
11,11,0,bottas,Valtteri,Bottas,6,Monaco Grand Prix
12,12,0,de_vries,Nyck,de Vries,6,Monaco Grand Prix
13,13,0,zhou,Guanyu,Zhou,6,Monaco Grand Prix
14,14,0,albon,Alexander,Albon,6,Monaco Grand Prix
15,15,0,tsunoda,Yuki,Tsunoda,6,Monaco Grand Prix
16,16,0,perez,Sergio,Pérez,6,Monaco Grand Prix
17,17,0,hulkenberg,Nico,Hülkenberg,6,Monaco Grand Prix
18,18,0,sargeant,Logan,Sargeant,6,Monaco Grand Prix
19,R,0,kevin_magnussen,Kevin,Magnussen,6,Monaco Grand Prix
20,R,0,stroll,Lance,Stroll,6,Monaco Grand Prix
1,1,26,max_verstappen,Max,Verstappen,7,Spanish Grand Prix
2,2,18,hamilton,Lewis,Hamilton,7,Spanish Grand Prix
3,3,15,russell,George,Russell,7,Spanish Grand Prix
4,4,12,perez,Sergio,Pérez,7,Spanish Grand Prix
5,5,10,sainz,Carlos,Sainz,7,Spanish Grand Prix
6,6,8,stroll,Lance,Stroll,7,Spanish Grand Prix
7,7,6,alonso,Fernando,Alonso,7,Spanish Grand Prix
8,8,4,ocon,Esteban,Ocon,7,Spanish Grand Prix
9,9,2,zhou,Guanyu,Zhou,7,Spanish Grand Prix
10,10,1,gasly,Pierre,Gasly,7,Spanish Grand Prix
11,11,0,leclerc,Charles,Leclerc,7,Spanish Grand Prix
12,12,0,tsunoda,Yuki,Tsunoda,7,Spanish Grand Prix
13,13,0,piastri,Oscar,Piastri,7,Spanish Grand Prix
14,14,0,de_vries,Nyck,de Vries,7,Spanish Grand Prix
15,15,0,hulkenberg,Nico,Hülkenberg,7,Spanish Grand Prix
16,16,0,albon,Alexander,Albon,7,Spanish Grand Prix
17,17,0,norris,Lando,Norris,7,Spanish Grand Prix
18,18,0,kevin_magnussen,Kevin,Magnussen,7,Spanish Grand Prix
19,19,0,bottas,Valtteri,Bottas,7,Spanish Grand Prix
20,20,0,sargeant,Logan,Sargeant,7,Spanish Grand Prix
1,1,25,max_verstappen,Max,Verstappen,8,Canadian Grand Prix
2,2,18,alonso,Fernando,Alonso,8,Canadian Grand Prix
3,3,15,hamilton,Lewis,Hamilton,8,Canadian Grand Prix
4,4,12,leclerc,Charles,Leclerc,8,Canadian Grand Prix
5,5,10,sainz,Carlos,Sainz,8,Canadian Grand Prix
6,6,9,perez,Sergio,Pérez,8,Canadian Grand Prix
7,7,6,albon,Alexander,Albon,8,Canadian Grand Prix
8,8,4,ocon,Esteban,Ocon,8,Canadian Grand Prix
9,9,2,stroll,Lance,Stroll,8,Canadian Grand Prix
10,10,1,bottas,Valtteri,Bottas,8,Canadian Grand Prix
11,11,0,piastri,Oscar,Piastri,8,Canadian Grand Prix
12,12,0,gasly,Pierre,Gasly,8,Canadian Grand Prix
13,13,0,norris,Lando,Norris,8,Canadian Grand Prix
14,14,0,tsunoda,Yuki,Tsunoda,8,Canadian Grand Prix
15,15,0,hulkenberg,Nico,Hülkenberg,8,Canadian Grand Prix
16,16,0,zhou,Guanyu,Zhou,8,Canadian Grand Prix
17,17,0,kevin_magnussen,Kevin,Magnussen,8,Canadian Grand Prix
18,18,0,de_vries,Nyck,de Vries,8,Canadian Grand Prix
19,R,0,russell,George,Russell,8,Canadian Grand Prix
20,R,0,sargeant,Logan,Sargeant,8,Canadian Grand Prix
1,1,26,max_verstappen,Max,Verstappen,9,Austrian Grand Prix
2,2,18,leclerc,Charles,Leclerc,9,Austrian Grand Prix
3,3,15,perez,Sergio,Pérez,9,Austrian Grand Prix
4,4,12,norris,Lando,Norris,9,Austrian Grand Prix
5,5,10,alonso,Fernando,Alonso,9,Austrian Grand Prix
