,Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
99,1,1,26,max_verstappen,Max,Verstappen,5.0,Miami Grand Prix
100,2,2,18,perez,Sergio,Pérez,5.0,Miami Grand Prix
101,3,3,15,alonso,Fernando,Alonso,5.0,Miami Grand Prix
102,4,4,12,russell,George,Russell,5.0,Miami Grand Prix
103,5,5,10,sainz,Carlos,Sainz,5.0,Miami Grand Prix
104,6,6,8,hamilton,Lewis,Hamilton,5.0,Miami Grand Prix
105,7,7,6,leclerc,Charles,Leclerc,5.0,Miami Grand Prix
106,8,8,4,gasly,Pierre,Gasly,5.0,Miami Grand Prix
107,9,9,2,ocon,Esteban,Ocon,5.0,Miami Grand Prix
108,10,10,1,kevin_magnussen,Kevin,Magnussen,5.0,Miami Grand Prix
109,11,11,0,tsunoda,Yuki,Tsunoda,5.0,Miami Grand Prix
110,12,12,0,stroll,Lance,Stroll,5.0,Miami Grand Prix
111,13,13,0,bottas,Valtteri,Bottas,5.0,Miami Grand Prix
112,14,14,0,albon,Alexander,Albon,5.0,Miami Grand Prix
113,15,15,0,hulkenberg,Nico,Hülkenberg,5.0,Miami Grand Prix
114,16,16,0,zhou,Guanyu,Zhou,5.0,Miami Grand Prix
115,17,17,0,norris,Lando,Norris,5.0,Miami Grand Prix
116,18,18,0,de_vries,Nyck,de Vries,5.0,Miami Grand Prix
117,19,19,0,piastri,Oscar,Piastri,5.0,Miami Grand Prix
118,20,20,0,sargeant,Logan,Sargeant,5.0,Miami Grand Prix
119,1,1,25,max_verstappen,Max,Verstappen,6.0,Monaco Grand Prix
120,2,2,18,alonso,Fernando,Alonso,6.0,Monaco Grand Prix
121,3,3,15,ocon,Esteban,Ocon,6.0,Monaco Grand Prix
122,4,4,13,hamilton,Lewis,Hamilton,6.0,Monaco Grand Prix
123,5,5,10,russell,George,Russell,6.0,Monaco Grand Prix
124,6,6,8,leclerc,Charles,Leclerc,6.0,Monaco Grand Prix
125,7,7,6,gasly,Pierre,Gasly,6.0,Monaco Grand Prix
126,8,8,4,sainz,Carlos,Sainz,6.0,Monaco Grand Prix
127,9,9,2,norris,Lando,Norris,6.0,Monaco Grand Prix
128,10,10,1,piastri,Oscar,Piastri,6.0,Monaco Grand Prix
129,11,11,0,bottas,Valtteri,Bottas,6.0,Monaco Grand Prix
130,12,12,0,de_vries,Nyck,de Vries,6.0,Monaco Grand Prix
131,13,13,0,zhou,Guanyu,Zhou,6.0,Monaco Grand Prix
132,14,14,0,albon,Alexander,Albon,6.0,Monaco Grand Prix
133,15,15,0,tsunoda,Yuki,Tsunoda,6.0,Monaco Grand Prix
134,16,16,0,perez,Sergio,Pérez,6.0,Monaco Grand Prix
135,17,17,0,hulkenberg,Nico,Hülkenberg,6.0,Monaco Grand Prix
136,18,18,0,sargeant,Logan,Sargeant,6.0,Monaco Grand Prix
137,19,R,0,kevin_magnussen,Kevin,Magnussen,6.0,Monaco Grand Prix
138,20,R,0,stroll,Lance,Stroll,6.0,Monaco Grand Prix
139,1,1,26,max_verstappen,Max,Verstappen,7.0,Spanish Grand Prix
140,2,2,18,hamilton,Lewis,Hamilton,7.0,Spanish Grand Prix
141,3,3,15,russell,George,Russell,7.0,Spanish Grand Prix
142,4,4,12,perez,Sergio,Pérez,7.0,Spanish Grand Prix
143,5,5,10,sainz,Carlos,Sainz,7.0,Spanish Grand Prix
144,6,6,8,stroll,Lance,Stroll,7.0,Spanish Grand Prix
145,7,7,6,alonso,Fernando,Alonso,7.0,Spanish Grand Prix
146,8,8,4,ocon,Esteban,Ocon,7.0,Spanish Grand Prix
147,9,9,2,zhou,Guanyu,Zhou,7.0,Spanish Grand Prix
148,10,10,1,gasly,Pierre,Gasly,7.0,Spanish Grand Prix
149,11,11,0,leclerc,Charles,Leclerc,7.0,Spanish Grand Prix
150,12,12,0,tsunoda,Yuki,Tsunoda,7.0,Spanish Grand Prix
151,13,13,0,piastri,Oscar,Piastri,7.0,Spanish Grand Prix
152,14,14,0,de_vries,Nyck,de Vries,7.0,Spanish Grand Prix
153,15,15,0,hulkenberg,Nico,Hülkenberg,7.0,Spanish Grand Prix
154,16,16,0,albon,Alexander,Albon,7.0,Spanish Grand Prix
155,17,17,0,norris,Lando,Norris,7.0,Spanish Grand Prix
156,18,18,0,kevin_magnussen,Kevin,Magnussen,7.0,Spanish Grand Prix
157,19,19,0,bottas,Valtteri,Bottas,7.0,Spanish Grand Prix
158,20,20,0,sargeant,Logan,Sargeant,7.0,Spanish Grand Prix
159,1,1,25,max_verstappen,Max,Verstappen,8.0,Canadian Grand Prix
160,2,2,18,alonso,Fernando,Alonso,8.0,Canadian Grand Prix
161,3,3,15,hamilton,Lewis,Hamilton,8.0,Canadian Grand Prix
162,4,4,12,leclerc,Charles,Leclerc,8.0,Canadian Grand Prix
163,5,5,10,sainz,Carlos,Sainz,8.0,Canadian Grand Prix
164,6,6,9,perez,Sergio,Pérez,8.0,Canadian Grand Prix
165,7,7,6,albon,Alexander,Albon,8.0,Canadian Grand Prix
166,8,8,4,ocon,Esteban,Ocon,8.0,Canadian Grand Prix
167,9,9,2,stroll,Lance,Stroll,8.0,Canadian Grand Prix
168,10,10,1,bottas,Valtteri,Bottas,8.0,Canadian Grand Prix
169,11,11,0,piastri,Oscar,Piastri,8.0,Canadian Grand Prix
170,12,12,0,gasly,Pierre,Gasly,8.0,Canadian Grand Prix
171,13,13,0,norris,Lando,Norris,8.0,Canadian Grand Prix
172,14,14,0,tsunoda,Yuki,Tsunoda,8.0,Canadian Grand Prix
173,15,15,0,hulkenberg,Nico,Hülkenberg,8.0,Canadian Grand Prix
174,16,16,0,zhou,Guanyu,Zhou,8.0,Canadian Grand Prix
175,17,17,0,kevin_magnussen,Kevin,Magnussen,8.0,Canadian Grand Prix
176,18,18,0,de_vries,Nyck,de Vries,8.0,Canadian Grand Prix
177,19,R,0,russell,George,Russell,8.0,Canadian Grand Prix
178,20,R,0,sargeant,Logan,Sargeant,8.0,Canadian Grand Prix
179,1,1,26,max_verstappen,Max,Verstappen,9.0,Austrian Grand Prix
180,2,2,18,leclerc,Charles,Leclerc,9.0,Austrian Grand Prix
181,3,3,15,perez,Sergio,Pérez,9.0,Austrian Grand Prix
182,4,4,12,norris,Lando,Norris,9.0,Austrian Grand Prix
183,5,5,10,alonso,Fernando,Alonso,9.0,Austrian Grand Prix
184,6,6,8,sainz,Carlos,Sainz,9.0,Austrian Grand Prix
185,7,7,6,russell,George,Russell,9.0,Austrian Grand Prix
186,8,8,4,hamilton,Lewis,Hamilton,9.0,Austrian Grand Prix
187,9,9,2,stroll,Lance,Stroll,9.0,Austrian Grand Prix
188,10,10,1,gasly,Pierre,Gasly,9.0,Austrian Grand Prix
189,11,11,0,albon,Alexander,Albon,9.0,Austrian Grand Prix
190,12,12,0,zhou,Guanyu,Zhou,9.0,Austrian Grand Prix
191,13,13,0,sargeant,Logan,Sargeant,9.0,Austrian Grand Prix
192,14,14,0,ocon,Esteban,Ocon,9.0,Austrian Grand Prix
193,15,15,0,bottas,Valtteri,Bottas,9.0,Austrian Grand Prix
194,16,16,0,piastri,Oscar,Piastri,9.0,Austrian Grand Prix
195,17,17,0,de_vries,Nyck,de Vries,9.0,Austrian Grand Prix
196,18,18,0,kevin_magnussen,Kevin,Magnussen,9.0,Austrian Grand Prix
197,19,19,0,tsunoda,Yuki,Tsunoda,9.0,Austrian Grand Prix
198,20,R,0,hulkenberg,Nico,Hülkenberg,9.0,Austrian Grand Prix
199,1,1,26,max_verstappen,Max,Verstappen,10.0,British Grand Prix
200,2,2,18,norris,Lando,Norris,10.0,British Grand Prix
201,3,3,15,hamilton,Lewis,Hamilton,10.0,British Grand Prix
202,4,4,12,piastri,Oscar,Piastri,10.0,British Grand Prix
203,5,5,10,russell,George,Russell,10.0,British Grand Prix
204,6,6,8,perez,Sergio,Pérez,10.0,British Grand Prix
205,7,7,6,alonso,Fernando,Alonso,10.0,British Grand Prix
206,8,8,4,albon,Alexander,Albon,10.0,British Grand Prix
207,9,9,2,leclerc,Charles,Leclerc,10.0,British Grand Prix
208,10,10,1,sainz,Carlos,Sainz,10.0,British Grand Prix
209,11,11,0,sargeant,Logan,Sargeant,10.0,British Grand Prix
210,12,12,0,bottas,Valtteri,Bottas,10.0,British Grand Prix
211,13,13,0,hulkenberg,Nico,Hülkenberg,10.0,British Grand Prix
212,14,14,0,stroll,Lance,Stroll,10.0,British Grand Prix
213,15,15,0,zhou,Guanyu,Zhou,10.0,British Grand Prix
214,16,16,0,tsunoda,Yuki,Tsunoda,10.0,British Grand Prix
215,17,17,0,de_vries,Nyck,de Vries,10.0,British Grand Prix
216,18,18,0,gasly,Pierre,Gasly,10.0,British Grand Prix
217,19,R,0,kevin_magnussen,Kevin,Magnussen,10.0,British Grand Prix
218,20,R,0,ocon,Esteban,Ocon,10.0,British Grand Prix
219,1,1,26,max_verstappen,Max,Verstappen,11.0,Hungarian Grand Prix
220,2,2,18,norris,Lando,Norris,11.0,Hungarian Grand Prix
221,3,3,15,perez,Sergio,Pérez,11.0,Hungarian Grand Prix
222,4,4,12,hamilton,Lewis,Hamilton,11.0,Hungarian Grand Prix
223,5,5,10,piastri,Oscar,Piastri,11.0,Hungarian Grand Prix
224,6,6,8,russell,George,Russell,11.0,Hungarian Grand Prix
225,7,7,6,leclerc,Charles,Leclerc,11.0,Hungarian Grand Prix
226,8,8,4,sainz,Carlos,Sainz,11.0,Hungarian Grand Prix
227,9,9,2,alonso,Fernando,Alonso,11.0,Hungarian Grand Prix
228,10,10,1,stroll,Lance,Stroll,11.0,Hungarian Grand Prix
229,11,11,0,albon,Alexander,Albon,11.0,Hungarian Grand Prix
