,Position,PositionText,Points,DriverId,GivenName,FamilyName,Race,Race_name
82,5,5,10,sainz,Carlos,Sainz,4.0,Azerbaijan Grand Prix
83,6,6,8,hamilton,Lewis,Hamilton,4.0,Azerbaijan Grand Prix
84,7,7,6,stroll,Lance,Stroll,4.0,Azerbaijan Grand Prix
85,8,8,5,russell,George,Russell,4.0,Azerbaijan Grand Prix
86,9,9,2,norris,Lando,Norris,4.0,Azerbaijan Grand Prix
87,10,10,1,tsunoda,Yuki,Tsunoda,4.0,Azerbaijan Grand Prix
88,11,11,0,piastri,Oscar,Piastri,4.0,Azerbaijan Grand Prix
89,12,12,0,albon,Alexander,Albon,4.0,Azerbaijan Grand Prix
90,13,13,0,kevin_magnussen,Kevin,Magnussen,4.0,Azerbaijan Grand Prix
91,14,14,0,gasly,Pierre,Gasly,4.0,Azerbaijan Grand Prix
92,15,15,0,ocon,Esteban,Ocon,4.0,Azerbaijan Grand Prix
93,16,16,0,sargeant,Logan,Sargeant,4.0,Azerbaijan Grand Prix
94,17,17,0,hulkenberg,Nico,Hülkenberg,4.0,Azerbaijan Grand Prix
95,18,18,0,bottas,Valtteri,Bottas,4.0,Azerbaijan Grand Prix
96,19,R,0,zhou,Guanyu,Zhou,4.0,Azerbaijan Grand Prix
97,20,R,0,de_vries,Nyck,de Vries,4.0,Azerbaijan Grand Prix
98,1,1,26,max_verstappen,Max,Verstappen,5.0,Miami Grand Prix
99,2,2,18,perez,Sergio,Pérez,5.0,Miami Grand Prix
100,3,3,15,alonso,Fernando,Alonso,5.0,Miami Grand Prix
101,4,4,12,russell,George,Russell,5.0,Miami Grand Prix
102,5,5,10,sainz,Carlos,Sainz,5.0,Miami Grand Prix
103,6,6,8,hamilton,Lewis,Hamilton,5.0,Miami Grand Prix
104,7,7,6,leclerc,Charles,Leclerc,5.0,Miami Grand Prix
105,8,8,4,gasly,Pierre,Gasly,5.0,Miami Grand Prix
106,9,9,2,ocon,Esteban,Ocon,5.0,Miami Grand Prix
107,10,10,1,kevin_magnussen,Kevin,Magnussen,5.0,Miami Grand Prix
108,11,11,0,tsunoda,Yuki,Tsunoda,5.0,Miami Grand Prix
109,12,12,0,stroll,Lance,Stroll,5.0,Miami Grand Prix
110,13,13,0,bottas,Valtteri,Bottas,5.0,Miami Grand Prix
111,14,14,0,albon,Alexander,Albon,5.0,Miami Grand Prix
112,15,15,0,hulkenberg,Nico,Hülkenberg,5.0,Miami Grand Prix
113,16,16,0,zhou,Guanyu,Zhou,5.0,Miami Grand Prix
114,17,17,0,norris,Lando,Norris,5.0,Miami Grand Prix
115,18,18,0,de_vries,Nyck,de Vries,5.0,Miami Grand Prix
116,19,19,0,piastri,Oscar,Piastri,5.0,Miami Grand Prix
117,20,20,0,sargeant,Logan,Sargeant,5.0,Miami Grand Prix
118,1,1,25,max_verstappen,Max,Verstappen,6.0,Monaco Grand Prix
119,2,2,18,alonso,Fernando,Alonso,6.0,Monaco Grand Prix
120,3,3,15,ocon,Esteban,Ocon,6.0,Monaco Grand Prix
121,4,4,13,hamilton,Lewis,Hamilton,6.0,Monaco Grand Prix
